full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
"Request for approval: drinking fountain / bottle filler combo unit for use for public restrooms per fixture schedule. Includes all trim, supplies, stops and connection fittings. per project specification Section 22 40 00.",22,40,22 40,request approval drinking fountain bottle filler combo unit use public restroom fixture schedule include trim supply stop connection fitting project specification section,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Subject: Material Submittal – Request for approval: steel moment frame connections for use for lateral bracing system per seismic design. Includes crane and rigging for steel erection. per structural engineer sealed shop drawings.,05,10,05 10,subject material submittal request approval steel moment frame connection use lateral bracing system seismic design include crane rigging steel erection structural engineer seal shop drawing,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
"Scope of work includes delivery and wiring of parking garage LED fixtures with daylight sensor for warehouse and industrial high-bay areas. Color temperature: 4000K for offices, 3000K for corridors.",26,50,26 50,scope work include delivery wiring parking garage lead fixture daylight sensor warehouse industrial high bay area color temperature k office k corridor,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
BID ITEM: Quotation for aluminum sliding windows for exterior building facade per window schedule. Windows to be factory-assembled and glazed. per project specification Section 08 50 00.,08,50,08 50,bid item quotation aluminum slide window exterior building facade window schedule window factory assemble glaze project specification section,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Proposal for supply and erection of ornamental steel railing and balusters for equipment pads and roof penetration supports. Includes all anchors, fasteners and connection hardware.",05,50,05 50,proposal supply erection ornamental steel railing baluster equipment pad roof penetration support include anchor fastener connection hardware,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
BID ITEM: Scope of work includes installation of epoxy resin flooring for commercial kitchen for gymnasium and multipurpose room. Base: 4-inch rubber or tile cove base at all walls.,09,60,09 60,bid item scope work include installation epoxy resin floor commercial kitchen gymnasium multipurpose room base inch rubber tile cove base wall,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
"Vendor submittal: curtain wall window system unitized. U-factor 0.30 maximum, SHGC 0.25 maximum per energy code. per energy code and ASHRAE 90.1 requirements.",08,50,08 50,vendor submittal curtain wall window system unitize u factor maximum shgc maximum energy code energy code ashrae requirement,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Request for approval: spray-applied polyurethane foam insulation (SPF) for use for roof insulation above deck. Fire rating: Class A flame spread per ASTM E84. per project specification Section 07 20 00.,07,20,07 20,request approval spray apply polyurethane foam insulation spf use roof insulation deck fire rating class flame spread astm e project specification section,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Subject: Material Submittal – Scope of work includes furnishing and connecting of diesel emergency standby generator 500 kW for emergency and standby power system. Load bank testing and startup by factory technician.,26,20,26 20,subject material submittal scope work include furnish connect diesel emergency standby generator kw emergency standby power system load bank testing startup factory technician,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Scope of work includes supply and installation of galvanized corrugated steel decking for metal building roof deck replacement. Minimum bearing length 2 inches on structural steel supports.,05,30,05 30,scope work include supply installation galvanized corrugated steel decking metal building roof deck replacement minimum bearing length inch structural steel support,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
Proposal for procurement and mounting of exterior LED wall pack and pole-mounted fixtures for exterior site and building-mounted lighting. Emergency fixtures with 90-minute battery backup per code.,26,50,26 50,proposal procurement mount exterior lead wall pack pole mount fixture exterior site building mount light emergency fixture minute battery backup code,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
SCOPE OF WORK DESCRIPTION: Furnish and install spray-applied polyurethane foam insulation (SPF) as indicated on drawings and per ASHRAE 90.1 energy code requirements. Insulation to be unfaced or kraft-faced as indicated.,07,20,07 20,scope work description furnish install spray apply polyurethane foam insulation spf indicate drawing ashrae energy code requirement insulation unfaced kraft face indicate,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Subject: Material Submittal – Scope of work includes procurement and installation of VRF (variable refrigerant flow) outdoor condensing units for rooftop packaged HVAC installation. Vibration isolation pads and curb adapter included.,23,60,23 60,subject material submittal scope work include procurement installation vrf variable refrigerant flow outdoor condense unit rooftop package hvac installation vibration isolation pad curb adapter include,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"Request for approval: drywall finishing including taping, mudding and sanding for use for tenant improvement build-out. Metal studs at 16 inches on center, bridging at mid-height. per project specification Section 09 20 00.",09,20,09 20,request approval drywall finishing include tap mud sand use tenant improvement build metal stud inch center bridge mid height project specification section,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Request for approval: curved gypsum board soffits and bulkheads for use for elevator shaft and mechanical shaft walls. Includes acoustic sealant at top and bottom tracks. per ASTM C840 gypsum board application standard.,09,20,09 20,request approval curved gypsum board soffit bulkhead use elevator shaft mechanical shaft wall include acoustic sealant track astm c gypsum board application standard,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"Request for approval: roof walkway pads and protection mats for use for roof replacement over existing building. Insulation R-30 minimum per energy code, tapered for drainage. per manufacturer approved applicator installation manual.",07,50,07 50,request approval roof walkway pad protection mat use roof replacement exist building insulation r minimum energy code taper drainage manufacturer approve applicator installation manual,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Quotation for back-painted decorative glass panels for canopy and skylight overhead glazing. Mock-up panel required for architect approval before production. per IGCC standards for insulating glass.,08,80,08 80,quotation paint decorative glass panel canopy skylight overhead glaze mock panel require architect approval production igcc standard insulate glass,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
RE: HVAC Air Distribution – Quotation for duct-mounted fire and smoke dampers for HVAC air distribution throughout building. Insulation: 2-inch fiberglass duct wrap with vapor barrier. per ASHRAE 90.1 duct insulation requirements.,23,30,23 30,hvac air distribution quotation duct mount fire smoke damper hvac air distribution build insulation inch fiberglass duct wrap vapor barrier ashrae duct insulation requirement,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
"Provide all labor, materials and equipment for wall-mounted urinal with flush valve for laboratory and medical exam rooms. per ASME A112.19.2 for vitreous china fixtures. Fixtures to be white vitreous china unless noted otherwise.",22,40,22 40,provide labor material equipment wall mount urinal flush valve laboratory medical exam room asme vitreous china fixture fixture white vitreous china note,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
"Quotation for steel dumpster enclosure frame for equipment pads and roof penetration supports. Includes all anchors, fasteners and connection hardware. per project specification Section 05 50 00.",05,50,05 50,quotation steel dumpster enclosure frame equipment pad roof penetration support include anchor fastener connection hardware project specification section,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
procurement and mounting of wall-mounted urinal with flush valve including all necessary accessories and hardware. per project specification Section 22 40 00.,22,40,22 40,procurement mounting wall mount urinal flush valve include necessary accessory hardware project specification section,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
SCOPE OF WORK DESCRIPTION: Proposal for supply and erection of form release agent and accessories for cast-in-place concrete columns. Snap ties at 24 inches on center both ways.,03,10,03 10,scope work description proposal supply erection form release agent accessory cast place concrete column snap tie inch center way,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
"Subcontractor bid for steel angle lintels for masonry openings. Location: for steel canopy at building entrance. Includes shop drawings, erection drawings and mill certificates.",05,10,05 10,subcontractor bid steel angle lintel masonry opening location steel canopy building entrance include shop drawing erection drawing mill certificate,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
"Provide all labor, materials and equipment for surge protective device (SPD) panel-mounted for tenant electrical metering and sub-distribution. per NEC Article 230 (Services) and 240 (Overcurrent Protection). Equipment to be UL 891 listed and labeled.",26,20,26 20,provide labor material equipment surge protective device spd panel mount tenant electrical metering sub distribution nec article service overcurrent protection equipment ul list label,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Quotation for curved gypsum board soffits and bulkheads for bathroom and kitchen wet-area walls. Taping and finishing to Level 4 finish per ASTM C840. per project specification Section 09 20 00.,09,20,09 20,quotation curved gypsum board soffit bulkhead bathroom kitchen wet area wall tap finish level finish astm c project specification section,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"This submittal covers the furnishing and laying of luxury vinyl plank (LVP) flooring click-lock system for lobby, corridors and common areas. All work to comply with per TCNA Handbook for tile installations. Moisture testing required per ASTM F2170 before installation.",09,60,09 60,submittal cover furnishing laying luxury vinyl plank lvp floor click lock system lobby corridor common area work comply tcna handbook tile installation moisture testing require astm f installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
furnishing and connecting of grease interceptor for commercial kitchen including all necessary accessories and hardware. per NSF/ANSI 61 for drinking water components.,22,30,22 30,furnish connect grease interceptor commercial kitchen include necessary accessory hardware nsf ansi drink water component,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
"SCOPE OF WORK DESCRIPTION: This submittal covers the fabrication and installation of steel ladder and safety cage for building perimeter bollard protection. All work to comply with per ADA and local building code requirements. Includes all anchors, fasteners and connection hardware.",05,50,05 50,scope work description submittal cover fabrication installation steel ladder safety cage build perimeter bollard protection work comply ada local building code requirement include anchor fastener connection hardware,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
BID ITEM: Furnish and install steel base plates and anchor bolts as indicated on drawings and per project specification Section 05 10 00. High-strength bolts A325 for all connections.,05,10,05 10,bid item furnish install steel base plate anchor bolt indicate drawing project specification section high strength bolt connection,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
RE: Metal Decking – Request for approval: acoustic metal deck with perforations for use for roof deck installation over steel joists. Deck to be Vulcraft or approved equal. conforming to ASTM A653 galvanized steel.,05,30,05 30,metal decking request approval acoustic metal deck perforation use roof deck installation steel joist deck vulcraft approve equal conforming astm galvanized steel,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
Subject: Material Submittal – Supply and install acoustic metal deck with perforations for mezzanine floor deck. Deck to be Vulcraft or approved equal. conforming to ASTM A653 galvanized steel.,05,30,05 30,subject material submittal supply install acoustic metal deck perforation mezzanine floor deck deck vulcraft approve equal conforming astm galvanized steel,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"Subject: Material Submittal – Request for approval: concrete placement and finishing for foundations for use for building foundations and footings. Finish to be steel trowel for interior slabs, broom finish for exterior. conforming to ASTM C94 ready-mixed concrete standard.",03,30,03 30,subject material submittal request approval concrete placement finish foundation use build foundation footing finish steel trowel interior slab broom finish exterior conform astm c ready mixed concrete standard,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Vendor submittal: abuse-resistant gypsum board for corridors. Partitions to achieve fire rating per UL assembly design. per ASTM C840 gypsum board application standard.,09,20,09 20,vendor submittal abuse resistant gypsum board corridor partition achieve fire rating ul assembly design astm c gypsum board application standard,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"This submittal covers the installation of copper building wire THHN/THWN various sizes for electrical raceway and wiring infrastructure. All work to comply with per NECA installation standards. Includes all supports, straps and seismic bracing.",26,05,26 05,submittal cover installation copper building wire thhn thwn size electrical raceway wiring infrastructure work comply neca installation standard include support strap seismic bracing,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
PROJECT PROPOSAL: Proposal for furnishing and glazing of vinyl casement windows with Low-E glass for high-rise building perimeter. Windows to be factory-assembled and glazed.,08,50,08 50,project proposal proposal furnish glazing vinyl casement window low e glass high rise building perimeter window factory assemble glaze,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Supply and install overhead coiling steel service doors for warehouse and loading dock openings. Fire-rated assemblies with UL listed label. conforming to SDI (Steel Door Institute) standards.,08,10,08 10,supply install overhead coil steel service door warehouse load dock opening fire rat assembly ul list label conform sdi steel door institute standard,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
"Provide all labor, materials and equipment for drinking fountain / bottle filler combo unit for janitor closets and service areas. per ASME A112.19.2 for vitreous china fixtures. ADA fixtures mounted at heights per accessibility code.",22,40,22 40,provide labor material equipment drink fountain bottle filler combo unit janitor closet service area asme vitreous china fixture ada fixture mount height accessibility code,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Request for approval: form release agent and accessories for use at building core shear walls. Forms to remain in place for minimum 7-day cure period. conforming to OSHA shoring requirements.,03,10,03 10,request approval form release agent accessory use build core shear wall form remain place minimum day cure period conform osha shore requirement,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
Proposal for furnishing and glazing of vinyl casement windows with Low-E glass for residential tower window replacement. Windows to be factory-assembled and glazed.,08,50,08 50,proposal furnish glazing vinyl casement window low e glass residential tower window replacement window factory assemble glaze,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Vendor submittal: curtain wall window system unitized. Includes all sealants, flashing and perimeter caulking. per approved window schedule and shop drawings.",08,50,08 50,vendor submittal curtain wall window system unitized include sealant flash perimeter caulking approve window schedule shop drawing,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Request for approval: blast-resistant security window assemblies for use for residential tower window replacement. Includes all sealants, flashing and perimeter caulking. per energy code and ASHRAE 90.1 requirements.",08,50,08 50,request approval blast resistant security window assembly use residential tower window replacement include sealant flash perimeter caulking energy code ashrae requirement,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Request for approval: LED high-bay warehouse light fixtures for use for parking garage and canopy lighting. All fixtures to be LED with minimum 50,000-hour rated life. per project specification Section 26 50 00.",26,50,26 50,request approval lead high bay warehouse light fixture use parking garage canopy light fixture lead minimum hour rat life project specification section,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"Proposal for supply and installation of split-system DX cooling unit with condenser for office building comfort cooling. Includes refrigerant piping, pad, and electrical connections.",23,60,23 60,proposal supply installation split system dx cool unit condenser office building comfort cooling include refrigerant piping pad electrical connection,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
VENDOR SUBMITTAL: Proposal for procurement and installation of hardwood oak strip flooring 3/4-inch solid for restrooms and locker rooms. Moisture testing required per ASTM F2170 before installation.,09,60,09 60,vendor submittal proposal procurement installation hardwood oak strip floor inch solid restroom locker room moisture testing require astm f installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Material submittal for crystalline waterproofing admixture for concrete. All seams to be sealed and corners reinforced. Refer to per project specification Section 07 10 00.,07,10,07 10,material submittal crystalline waterproofing admixture concrete seam seal corner reinforce refer project specification section,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
Subcontractor bid for spandrel glass panels with ceramic frit. Location: for fire-rated glazing at rated corridors. Includes structural silicone sealant for wet glazing.,08,80,08 80,subcontractor bid spandrel glass panel ceramic frit location fire rat glazing rat corridor include structural silicone sealant wet glazing,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Supply and install automatic sliding door operator for fire-rated corridor and stairwell openings. Fire-rated assemblies with UL listed label. per door and hardware schedule on drawings.,08,10,08 10,supply install automatic slide door operator fire rat corridor stairwell opening fire rat assembly ul list label door hardware schedule drawing,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
"Subcontractor bid for floor sealer and concrete stain. Location: for millwork, casework and trim. Touch-up painting at all trades damage at project completion.",09,90,09 90,subcontractor bid floor sealer concrete stain location millwork casework trim touch paint trade damage project completion,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Supply and install point-of-use water filtration system for drinking water cooling and dispensing. Unit to be seismic-rated for installation zone. per local health and plumbing code requirements.,22,30,22 30,supply install point use water filtration system drink water cooling dispense unit seismic rat installation zone local health plumb code requirement,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
"Provide all labor, materials and equipment for fiber reinforcing mesh for slab-on-grade for concrete shear walls per seismic design. per ASTM A615 Grade 60 specifications. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs.",03,20,03 20,provide labor material equipment fiber reinforce mesh slab grade concrete shear wall seismic design astm grade specification minimum concrete cover inch footing inch slab,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Proposal for delivery and setting of aluminum double-hung windows thermally broken for office and classroom window openings. Glazing to be dual-pane insulated Low-E argon-filled.,08,50,08 50,proposal delivery setting aluminum double hang window thermally break office classroom window opening glaze dual pane insulate low e argon fill,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Subject: Material Submittal – Proposal for pouring and curing of high-early-strength concrete for fast-track construction for exterior sidewalks and curbs. Concrete to be cured with wet burlap and plastic sheeting for 7 days.,03,30,03 30,subject material submittal proposal pour curing high early strength concrete fast track construction exterior sidewalk curb concrete cure wet burlap plastic sheet day,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"SCOPE OF WORK DESCRIPTION: Subcontractor bid for sports field LED flood lighting system. Location: for warehouse and industrial high-bay areas. All fixtures to be LED with minimum 50,000-hour rated life.",26,50,26 50,scope work description subcontractor bid sport field lead flood lighting system location warehouse industrial high bay area fixture lead minimum hour rat life,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
Request for approval: fiberglass batt insulation R-19 for exterior walls for use for mechanical room pipe and duct insulation. Fire rating: Class A flame spread per ASTM E84. conforming to local energy conservation code.,07,20,07 20,request approval fiberglas batt insulation r exterior wall use mechanical room pipe duct insulation fire rating class flame spread astm e conform local energy conservation code,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Furnish and install steel pipe bollards with concrete fill as indicated on drawings and per ADA and local building code requirements. Steel to be shop-primed with rust-inhibitive primer.,05,50,05 50,furnish install steel pipe bollard concrete fill indicate drawing ada local building code requirement steel shop prim rust inhibitive primer,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Request for approval: exterior acrylic paint system with primer for use for exposed structural steel fireproofing. VOC content to comply with LEED IEQ v4 requirements. per project specification Section 09 90 00.,09,90,09 90,request approval exterior acrylic paint system primer use expose structural steel fireproofing voc content comply leed ieq v requirement project specification section,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
This submittal covers the application of acoustic insulation for interior partitions for attic floor and knee wall insulation. All work to comply with per ASHRAE 90.1 energy code requirements. Fire rating: Class A flame spread per ASTM E84.,07,20,07 20,submittal cover application acoustic insulation interior partition attic floor knee wall insulation work comply ashrae energy code requirement fire rating class flame spread astm e,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
"Vendor submittal: heat recovery ventilator (HRV/ERV). Includes gas piping, venting and combustion air provisions. per AHRI certified heating capacity ratings.",23,70,23 70,vendor submittal heat recovery ventilator hrv erv include gas piping venting combustion air provision ahri certify heating capacity rating,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
Subcontractor bid for veneer plaster system over blueboard. Location: for tenant improvement build-out. Partitions to achieve fire rating per UL assembly design.,09,20,09 20,subcontractor bid veneer plaster system blueboard location tenant improvement build partition achieve fire rating ul assembly design,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"Subject: Material Submittal – Request for approval: drywall finishing including taping, mudding and sanding for use for elevator shaft and mechanical shaft walls. Metal studs at 16 inches on center, bridging at mid-height. per ASTM C840 gypsum board application standard.",09,20,09 20,subject material submittal request approval drywall finishing include tap mud sand use elevator shaft mechanical shaft wall metal stud inch center bridge mid height astm c gypsum board application standard,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"Provide all labor, materials and equipment for roofing insulation tapered cricket system for low-slope roof area approximately 45,000 square feet. per project specification Section 07 50 00. Insulation R-30 minimum per energy code, tapered for drainage.",07,50,07 50,provide labor material equipment roofing insulation taper cricket system low slope roof area approximately square foot project specification section insulation r minimum energy code taper drainage,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Furnish and install computer room precision cooling unit (CRAC/CRAH) as indicated on drawings and per AHRI certified performance ratings. Factory startup and commissioning by manufacturer representative.,23,60,23 60,furnish install computer room precision cool unit crac crah indicate drawing ahri certify performance rating factory startup commission manufacturer representative,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
This submittal covers the installation of moisture-resistant (green board) gypsum in wet areas for fire-rated corridor and stairwell assemblies. All work to comply with per UL listed assembly design number. Partitions to achieve fire rating per UL assembly design.,09,20,09 20,submittal cover installation moisture resistant green board gypsum wet area fire rat corridor stairwell assembly work comply ul list assembly design number partition achieve fire rating ul assembly design,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
SCOPE OF WORK DESCRIPTION: Vendor submittal: metal deck shear studs and connectors. Minimum bearing length 2 inches on structural steel supports. per project specification Section 05 30 00.,05,30,05 30,scope work description vendor submittal metal deck shear stud connector minimum bearing length inch structural steel support project specification section,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
Material submittal for tankless instantaneous water heater. 5-year manufacturer warranty on heat exchanger. Refer to per project specification Section 22 30 00.,22,30,22 30,material submittal tankless instantaneous water heater year manufacturer warranty heat exchanger refer project specification section,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
"This submittal covers the shop fabrication and field installation of miscellaneous steel angles, plates and channels for interior and exterior metal railings. All work to comply with per project specification Section 05 50 00. Steel to be shop-primed with rust-inhibitive primer.",05,50,05 50,submittal cover shop fabrication field installation miscellaneous steel angle plate channel interior exterior metal railing work comply project specification section steel shop prim rust inhibitive primer,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Vendor submittal: wired glass for fire-rated openings. Glass thickness and type per structural analysis for wind loads. per glazing contractor shop drawings.,08,80,08 80,vendor submittal wire glass fire rat opening glass thickness type structural analysis wind load glaze contractor shop drawing,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Subcontractor bid for triple-glazed high-performance IGU. Location: for curtain wall and storefront glazing systems. Insulated units with warm-edge spacer and argon gas fill.,08,80,08 80,subcontractor bid triple glaze high performance igu location curtain wall storefront glazing system insulate unit warm edge spacer argon gas fill,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Proposal for shop fabrication and field installation of steel pipe bollards with concrete fill miscellaneous metals throughout building. Field welds to be ground smooth and touch-up painted.,05,50,05 50,proposal shop fabrication field installation steel pipe bollard concrete fill miscellaneous metal build field weld grind smooth touch paint,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Scope of work includes installation of crystalline waterproofing admixture for concrete for elevator pit and mechanical room. All seams to be sealed and corners reinforced.,07,10,07 10,scope work include installation crystalline waterproofing admixture concrete elevator pit mechanical room seam seal corner reinforce,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
delivery and commissioning of hydronic baseboard fin-tube radiation heater including all necessary accessories and hardware. per AHRI certified heating capacity ratings.,23,70,23 70,delivery commissioning hydronic baseboard fin tube radiation heater include necessary accessory hardware ahri certify heating capacity rating,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
"Provide all labor, materials and equipment for grease interceptor for commercial kitchen for building water treatment and softening. per NSF/ANSI 61 for drinking water components. Manufacturer factory startup and commissioning required.",22,30,22 30,provide labor material equipment grease interceptor commercial kitchen build water treatment soften nsf ansi drink water component manufacturer factory startup commission require,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Furnish and install operable skylight window units as indicated on drawings and per energy code and ASHRAE 90.1 requirements. Color: clear anodized aluminum or custom RAL color.,08,50,08 50,furnish install operable skylight window unit indicate drawing energy code ashrae requirement color clear anodized aluminum custom ral color,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Material submittal for water-cooled centrifugal chiller 500-ton. Vibration isolation pads and curb adapter included. Refer to per project specification Section 23 60 00.,23,60,23 60,material submittal water cool centrifugal chiller ton vibration isolation pad curb adapter include refer project specification section,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
PROJECT PROPOSAL: Vendor submittal: fire-rated glazing assemblies 60-minute. Mock-up panel required for architect approval before production. per glazing contractor shop drawings.,08,80,08 80,project proposal vendor submittal fire rat glazing assembly minute mock panel require architect approval production glaze contractor shop drawing,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
This submittal covers the delivery and energization of distribution panelboard 225A 208/120V for electrical room equipment installation. All work to comply with per utility company service entrance requirements. Equipment to be UL 891 listed and labeled.,26,20,26 20,submittal cover delivery energization distribution panelboard v electrical room equipment installation work comply utility company service entrance requirement equipment ul list label,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
This submittal covers the supply and installation of headed reinforcing bar anchors for parking structure post-tensioned slabs. All work to comply with in accordance with Section 03 20 00. Rebar to be shop-fabricated and tagged per bar schedule.,03,20,03 20,submittal cover supply installation head reinforce bar anchor parking structure post tensioned slab work comply accordance section rebar shop fabricate tag bar schedule,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
"Provide all labor, materials and equipment for foam board insulation for slab edge for continuous insulation at building envelope. per ASHRAE 90.1 energy code requirements. Includes vapor retarder on warm side of assembly.",07,20,07 20,provide labor material equipment foam board insulation slab edge continuous insulation building envelope ashrae energy code requirement include vapor retarder warm assembly,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
"Vendor submittal: surge protective device (SPD) panel-mounted. Includes circuit breakers, fuses and all internal components. per NEC Article 230 (Services) and 240 (Overcurrent Protection).",26,20,26 20,vendor submittal surge protective device spd panel mount include circuit breaker fuse internal component nec article service overcurrent protection,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
This submittal covers the procurement and installation of VRF (variable refrigerant flow) outdoor condensing units for office building comfort cooling. All work to comply with per mechanical schedule on drawings. Vibration isolation pads and curb adapter included.,23,60,23 60,submittal cover procurement installation vrf variable refrigerant flow outdoor condense unit office building comfort cool work comply mechanical schedule drawing vibration isolation pad curb adapter include,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"This submittal covers the furnishing and glazing of blast-resistant security window assemblies for hospital patient room exterior windows. All work to comply with per project specification Section 08 50 00. Includes all sealants, flashing and perimeter caulking.",08,50,08 50,submittal cover furnishing glazing blast resistant security window assembly hospital patient room exterior window work comply project specification section include sealant flash perimeter caulking,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Furnish and install supply air diffusers and return air grilles as indicated on drawings and per mechanical drawings and duct layout schedule. Includes all hangers, supports and seismic bracing per code.",23,30,23 30,furnish install supply air diffuser return air grille indicate drawing mechanical drawing duct layout schedule include hanger support seismic bracing code,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
"Provide all labor, materials and equipment for standing seam metal roof panels 24-gauge for low-slope roof area approximately 45,000 square feet. per manufacturer approved applicator installation manual. Includes all flashings, counterflashings, and edge metal.",07,50,07 50,provide labor material equipment stand seam metal roof panel gauge low slope roof area approximately square foot manufacturer approve applicator installation manual include flashing counterflashing edge metal,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
RE: Concrete Reinforcing – Request for approval: reinforcing bar couplers (mechanical splices) for use for concrete columns and beams. Mill certifications required for all reinforcing steel. in accordance with Section 03 20 00.,03,20,03 20,concrete reinforcing request approval reinforce bar coupler mechanical splice use concrete column beam mill certification require reinforce steel accordance section,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
RE: Dampproofing and Waterproofing – Material submittal for underslab vapor barrier 15-mil polyethylene. Includes protection board and drainage composite. Refer to conforming to local building code moisture protection requirements.,07,10,07 10,dampproofe waterproof material submittal underslab vapor barrier mil polyethylene include protection board drainage composite refer conform local building code moisture protection requirement,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
RE: Common Work Results for Electrical – Proposal for installation of cable tray system ladder type with covers for power distribution conduit and wire pulls. All wiring and raceway per National Electrical Code (NEC).,26,05,26 05,common work result electrical proposal installation cable tray system ladder type cover power distribution conduit wire pull wiring raceway national electrical code nec,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
"Furnish and install grounding and bonding system with ground rods as indicated on drawings and per NEC (NFPA 70) National Electrical Code. Wire pulled with approved lubricant, no damage to insulation.",26,05,26 05,furnish install ground bonding system ground rod indicate drawing nec nfpa national electrical code wire pull approve lubricant damage insulation,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
