full_item,stage1_code,stage1_name,stage2_code,stage2_name,stage1_label,stage2_label
Vendor submittal: sound-rated gypsum board assembly STC 50. Corner bead at all exposed edges and reveals. per UL listed assembly design number.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
BID ITEM: Scope of work includes supply and application of fluid-applied rubberized asphalt waterproofing for plaza deck over occupied space. Surface preparation includes primer coat as recommended by manufacturer.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
SCOPE OF WORK DESCRIPTION: Request for approval: LED high-bay warehouse light fixtures for use for warehouse and industrial high-bay areas. Lighting controls to include occupancy sensors per energy code. per IES recommended lighting levels for occupancy type.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
supply and installation of distribution panelboard 225A 208/120V including all necessary accessories and hardware. per utility company service entrance requirements.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Scope of work includes furnishing and piping of steam-to-hot-water heat exchanger for ventilation air preheat system. Factory startup required by manufacturer certified technician.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
"Request for approval: FRP fiberglass reinforced plastic doors for use for interior and exterior door openings per door schedule. Hardware to include lever handles, closers, and hinges per hardware schedule. per door and hardware schedule on drawings.",08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
"Vendor submittal: stainless steel piping for medical gas. Includes core drilling, firestopping and sleeve installation. per ASME B31.9 building services piping.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
PROJECT PROPOSAL: Quotation for fire-rated glazing assemblies 60-minute for interior glass partitions and sidelights. Insulated units with warm-edge spacer and argon gas fill. per glazing contractor shop drawings.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Quotation for ADA-compliant accessible plumbing fixtures for laboratory and medical exam rooms. Chrome-plated brass faucets with ceramic disc cartridge. per ADA and ICC/ANSI A117.1 accessibility standard.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Vendor submittal: blown-in cellulose insulation for attic spaces. Fire rating: Class A flame spread per ASTM E84. conforming to local energy conservation code.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Supply and install welded wire reinforcement WWR 6x6-W2.9xW2.9 for concrete columns and beams. Lap splices per ACI 318 development length requirements. in accordance with Section 03 20 00.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Proposal for procurement and installation of steel security doors with electronic hardware for mechanical and electrical room access. Includes all weatherstripping, thresholds and smoke seals.",08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
BID ITEM: Supply and install acoustic metal deck with perforations for metal building roof deck replacement. Minimum bearing length 2 inches on structural steel supports. per SDI (Steel Deck Institute) standards.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Quotation for galvanized sheet metal ductwork rectangular and round for office and conference room supply and return. Includes all hangers, supports and seismic bracing per code. per mechanical drawings and duct layout schedule.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
Quotation for intumescent fireproofing paint for structural steel for exposed structural steel fireproofing. VOC content to comply with LEED IEQ v4 requirements. per MPI (Master Painters Institute) standards.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
Quotation for sheet membrane waterproofing for plaza deck for elevator pit and mechanical room. 10-year manufacturer warranty on waterproofing system. per project specification Section 07 10 00.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Proposal for installation of foam board insulation for slab edge for attic floor and knee wall insulation. Insulation to be unfaced or kraft-faced as indicated.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
VENDOR SUBMITTAL: Material submittal for diesel emergency standby generator 500 kW. Arc flash study and labels required per NFPA 70E. Refer to per NEC Article 230 (Services) and 240 (Overcurrent Protection).,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Subcontractor bid for EMT and rigid metal conduit with fittings. Location: for electrical raceway and wiring infrastructure. As-built drawings required showing all concealed raceway routing.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Proposal for furnishing and installing of acoustic insulation for interior partitions for attic floor and knee wall insulation. Includes vapor retarder on warm side of assembly.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Subcontractor bid for wire connectors, lugs and termination kits. Location: for data center cable tray installation. Includes all supports, straps and seismic bracing.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
"Scope of work includes furnishing and laying of raised access flooring system 6-inch pedestal for office spaces and conference rooms. Includes all floor preparation, leveling and patching.",09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"Proposal for delivery and installation of non-composite roof deck panels for composite floor system at all elevated levels. Includes all side laps, end laps, and pour stop angles.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"VENDOR SUBMITTAL: Material submittal for aluminum sliding windows. Includes all sealants, flashing and perimeter caulking. Refer to per AAMA/WDMA/CSA 101 performance standards.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Quotation for backflow preventer and pressure reducing valve for mechanical room plumbing connections. Insulation on all hot and cold water piping per specification. per Uniform Plumbing Code (UPC).,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
RE: Plumbing Equipment – This submittal covers the delivery and startup of sewage ejector pump with alarm for building water treatment and softening. All work to comply with per local health and plumbing code requirements. Manufacturer factory startup and commissioning required.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Subject: Material Submittal – furnishing and piping of CPVC hot and cold water distribution piping including all necessary accessories and hardware. per local plumbing code and health department requirements.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
PROJECT PROPOSAL: This submittal covers the furnishing and applying of roofing insulation tapered cricket system for rooftop mechanical equipment area. All work to comply with per project specification Section 07 50 00. System includes 20-year NDL (No Dollar Limit) manufacturer warranty.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
"Provide all labor, materials and equipment for hot water circulating pump and piping for perimeter heating at exterior walls. per ASME Boiler and Pressure Vessel Code for boilers. Expansion tank, air separator and chemical feeder included.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
"Provide all labor, materials and equipment for VRF (variable refrigerant flow) outdoor condensing units for tenant space supplemental cooling. per mechanical schedule on drawings. Vibration isolation pads and curb adapter included.",23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Subcontractor bid for traffic-bearing waterproofing for parking deck. Location: for below-grade foundation walls and footings. Membrane to be installed on clean, dry substrate.",07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
"Subject: Material Submittal – Request for approval: headed reinforcing bar anchors for use for retaining wall and grade beams. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs. per ACI 318-19 and project structural drawings.",03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Scope of work includes erection of metal deck shear studs and connectors for parking garage composite deck system. Includes all side laps, end laps, and pour stop angles.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Vendor submittal: sports field LED flood lighting system. Lighting controls to include occupancy sensors per energy code. per project specification Section 26 50 00.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
Proposal for furnishing and connecting of commercial gas-fired water heater 100-gallon for below-grade sewage ejection system. Unit to be seismic-rated for installation zone.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
"Provide all labor, materials and equipment for access doors and panels flush-mounted for warehouse and loading dock openings. per NFPA 80 fire door assembly standards. Hardware to include lever handles, closers, and hinges per hardware schedule.",08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
VENDOR SUBMITTAL: Scope of work includes installation of sheet membrane waterproofing for plaza deck at tunnel and underground utility connections. Surface preparation includes primer coat as recommended by manufacturer.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Scope of work includes furnishing and connecting of LED recessed troffer light fixtures 2x4 for parking garage and canopy lighting. Lighting controls to include occupancy sensors per energy code.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
Scope of work includes installation of steel panel forms for walls for basement foundation walls. Allow for three reuses of formwork panels.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
tear-off and replacement of roofing insulation tapered cricket system including all necessary accessories and hardware. per FM Global and UL listed roof assembly.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
application of continuous exterior insulation (CI) system including all necessary accessories and hardware. per manufacturer technical data and installation guide.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Quotation for sports field LED flood lighting system for exterior site and building-mounted lighting. All fixtures to be LED with minimum 50,000-hour rated life. per project specification Section 26 50 00.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
Subcontractor bid for continuous exterior insulation (CI) system. Location: for continuous insulation at building envelope. R-value verified by third-party testing per ASTM C518.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
RE: Metal Decking – Material submittal for non-composite roof deck panels. Deck to be Vulcraft or approved equal. Refer to per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
RE: Plaster and Gypsum Board – Vendor submittal: sound-rated gypsum board assembly STC 50. Partitions to achieve fire rating per UL assembly design. per project specification Section 09 20 00.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Quotation for evaporative condenser for refrigeration for building central cooling plant. Controls: BACnet compatible DDC for building automation integration. per project specification Section 23 60 00.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Scope of work includes installation of porcelain tile flooring 24x24 inch with thin-set mortar for office spaces and conference rooms. Moisture testing required per ASTM F2170 before installation.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
Scope of work includes procurement and installation of grease interceptor for commercial kitchen for domestic hot water system in mechanical room. Unit to be seismic-rated for installation zone.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
PROJECT PROPOSAL: fabrication and installation of foundation footing formwork including all necessary accessories and hardware. per project specification Section 03 10 00.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
shop fabrication and field erection of steel braced frame lateral system including all necessary accessories and hardware. per project specification Section 05 10 00.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
Furnish and install concrete placement and finishing for foundations as indicated on drawings and per approved concrete mix design. Concrete to be cured with wet burlap and plastic sheeting for 7 days.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Scope of work includes supply and installation of dimming lighting control system with occupancy sensors for warehouse and industrial high-bay areas. Color temperature: 4000K for offices, 3000K for corridors.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
SCOPE OF WORK DESCRIPTION: Scope of work includes supply and installation of curtain wall window system unitized for residential tower window replacement. Color: clear anodized aluminum or custom RAL color.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
"Provide all labor, materials and equipment for fabric ductwork for open ceiling areas for rooftop air handling unit connections. per ASHRAE 90.1 duct insulation requirements. Duct leakage testing per SMACNA Class A seal requirement.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
This submittal covers the supply and installation of triple-glazed high-performance IGU for fire-rated glazing at rated corridors. All work to comply with per ASTM C1048 for flat glass specifications. Glass to meet ANSI Z97.1 safety glazing requirements.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
VENDOR SUBMITTAL: This submittal covers the application of specialty antimicrobial paint for healthcare for all interior walls and ceilings. All work to comply with per project specification Section 09 90 00. VOC content to comply with LEED IEQ v4 requirements.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
"Request for approval: thermostatic mixing valve station for use for building water treatment and softening. Equipment includes mounting, piping connections and startup. per project specification Section 22 30 00.",22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
This submittal covers the fabrication and installation of outside air louvers with bird screen for data center precision air distribution. All work to comply with per mechanical drawings and duct layout schedule. Duct leakage testing per SMACNA Class A seal requirement.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"Subcontractor bid for dry-type transformer 75 kVA 480V to 208/120V. Location: for emergency and standby power system. Includes circuit breakers, fuses and all internal components.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Quotation for main electrical switchboard 2000A 480/277V for tenant electrical metering and sub-distribution. Arc flash study and labels required per NFPA 70E. per NFPA 110 for emergency power systems.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
VENDOR SUBMITTAL: Proposal for application of exterior acrylic paint system with primer for mechanical and electrical rooms. Touch-up painting at all trades damage at project completion.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
"Quotation for liquid-applied air and vapor barrier at tunnel and underground utility connections. Membrane to be installed on clean, dry substrate. per manufacturer installation guidelines.",07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
"Quotation for firestopping for electrical penetrations for power distribution conduit and wire pulls. Includes all supports, straps and seismic bracing. per NECA installation standards.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Vendor submittal: water-cooled centrifugal chiller 500-ton. Unit to be high-efficiency with minimum 14 SEER rating. per ASHRAE 90.1 minimum efficiency requirements.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
rough-in and connection of domestic water booster pump station including all necessary accessories and hardware. per local plumbing code and health department requirements.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
Supply and install explosion-proof lighting for hazardous locations for exterior site and building-mounted lighting. Includes dimming drivers compatible with 0-10V control system. per NEC Article 410 and local energy code.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"Furnish and install exterior LED wall pack and pole-mounted fixtures as indicated on drawings and per IES recommended lighting levels for occupancy type. All fixtures to be LED with minimum 50,000-hour rated life.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"Provide all labor, materials and equipment for foundation drain board and protection course for occupied basement and parking levels. per project specification Section 07 10 00. Surface preparation includes primer coat as recommended by manufacturer.",07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
"Provide all labor, materials and equipment for copper building wire THHN/THWN various sizes for grounding electrode system per NEC. per UL listed materials and components. As-built drawings required showing all concealed raceway routing.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
"Proposal for supply and installation of water softener and treatment system for building water treatment and softening. Equipment includes mounting, piping connections and startup.",22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
"BID ITEM: Subcontractor bid for PVC single-ply roofing membrane with hot-air welded seams. Location: for rooftop mechanical equipment area. Insulation R-30 minimum per energy code, tapered for drainage.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Vendor submittal: floor sealer and concrete stain. Touch-up painting at all trades damage at project completion. per SSPC surface preparation standards for steel.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
"Supply and install post-tensioning tendons and anchors for concrete shear walls per seismic design. Includes all cutting, bending, placing and tying. in accordance with Section 03 20 00.",03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Request for approval: built-up roofing (BUR) 4-ply asphalt system for use for low-slope roof area approximately 45,000 square feet. System includes 20-year NDL (No Dollar Limit) manufacturer warranty. per NRCA roofing guidelines.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
"Provide all labor, materials and equipment for composite metal floor deck 3-inch 20 gauge for mezzanine floor deck. per SDI (Steel Deck Institute) standards. Minimum bearing length 2 inches on structural steel supports.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Subcontractor bid for concrete placement and finishing for foundations. Location: for concrete columns, beams and shear walls. Includes concrete testing: slump, air content, cylinders per ACI 301.",03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Request for approval: drinking fountain / bottle filler combo unit for use for public restrooms per fixture schedule. Includes all trim, supplies, stops and connection fittings. per project specification Section 22 40 00.",22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Subject: Material Submittal – Request for approval: steel moment frame connections for use for lateral bracing system per seismic design. Includes crane and rigging for steel erection. per structural engineer sealed shop drawings.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
"Scope of work includes delivery and wiring of parking garage LED fixtures with daylight sensor for warehouse and industrial high-bay areas. Color temperature: 4000K for offices, 3000K for corridors.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
BID ITEM: Quotation for aluminum sliding windows for exterior building facade per window schedule. Windows to be factory-assembled and glazed. per project specification Section 08 50 00.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
"Proposal for supply and erection of ornamental steel railing and balusters for equipment pads and roof penetration supports. Includes all anchors, fasteners and connection hardware.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
BID ITEM: Scope of work includes installation of epoxy resin flooring for commercial kitchen for gymnasium and multipurpose room. Base: 4-inch rubber or tile cove base at all walls.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"Vendor submittal: curtain wall window system unitized. U-factor 0.30 maximum, SHGC 0.25 maximum per energy code. per energy code and ASHRAE 90.1 requirements.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Request for approval: spray-applied polyurethane foam insulation (SPF) for use for roof insulation above deck. Fire rating: Class A flame spread per ASTM E84. per project specification Section 07 20 00.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Subject: Material Submittal – Scope of work includes furnishing and connecting of diesel emergency standby generator 500 kW for emergency and standby power system. Load bank testing and startup by factory technician.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Scope of work includes supply and installation of galvanized corrugated steel decking for metal building roof deck replacement. Minimum bearing length 2 inches on structural steel supports.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Proposal for procurement and mounting of exterior LED wall pack and pole-mounted fixtures for exterior site and building-mounted lighting. Emergency fixtures with 90-minute battery backup per code.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
SCOPE OF WORK DESCRIPTION: Furnish and install spray-applied polyurethane foam insulation (SPF) as indicated on drawings and per ASHRAE 90.1 energy code requirements. Insulation to be unfaced or kraft-faced as indicated.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Subject: Material Submittal – Scope of work includes procurement and installation of VRF (variable refrigerant flow) outdoor condensing units for rooftop packaged HVAC installation. Vibration isolation pads and curb adapter included.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Request for approval: drywall finishing including taping, mudding and sanding for use for tenant improvement build-out. Metal studs at 16 inches on center, bridging at mid-height. per project specification Section 09 20 00.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Request for approval: curved gypsum board soffits and bulkheads for use for elevator shaft and mechanical shaft walls. Includes acoustic sealant at top and bottom tracks. per ASTM C840 gypsum board application standard.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Request for approval: roof walkway pads and protection mats for use for roof replacement over existing building. Insulation R-30 minimum per energy code, tapered for drainage. per manufacturer approved applicator installation manual.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Quotation for back-painted decorative glass panels for canopy and skylight overhead glazing. Mock-up panel required for architect approval before production. per IGCC standards for insulating glass.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
RE: HVAC Air Distribution – Quotation for duct-mounted fire and smoke dampers for HVAC air distribution throughout building. Insulation: 2-inch fiberglass duct wrap with vapor barrier. per ASHRAE 90.1 duct insulation requirements.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"Provide all labor, materials and equipment for wall-mounted urinal with flush valve for laboratory and medical exam rooms. per ASME A112.19.2 for vitreous china fixtures. Fixtures to be white vitreous china unless noted otherwise.",22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
"Quotation for steel dumpster enclosure frame for equipment pads and roof penetration supports. Includes all anchors, fasteners and connection hardware. per project specification Section 05 50 00.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
procurement and mounting of wall-mounted urinal with flush valve including all necessary accessories and hardware. per project specification Section 22 40 00.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
SCOPE OF WORK DESCRIPTION: Proposal for supply and erection of form release agent and accessories for cast-in-place concrete columns. Snap ties at 24 inches on center both ways.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
"Subcontractor bid for steel angle lintels for masonry openings. Location: for steel canopy at building entrance. Includes shop drawings, erection drawings and mill certificates.",05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
"Provide all labor, materials and equipment for surge protective device (SPD) panel-mounted for tenant electrical metering and sub-distribution. per NEC Article 230 (Services) and 240 (Overcurrent Protection). Equipment to be UL 891 listed and labeled.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Quotation for curved gypsum board soffits and bulkheads for bathroom and kitchen wet-area walls. Taping and finishing to Level 4 finish per ASTM C840. per project specification Section 09 20 00.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"This submittal covers the furnishing and laying of luxury vinyl plank (LVP) flooring click-lock system for lobby, corridors and common areas. All work to comply with per TCNA Handbook for tile installations. Moisture testing required per ASTM F2170 before installation.",09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
furnishing and connecting of grease interceptor for commercial kitchen including all necessary accessories and hardware. per NSF/ANSI 61 for drinking water components.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
"SCOPE OF WORK DESCRIPTION: This submittal covers the fabrication and installation of steel ladder and safety cage for building perimeter bollard protection. All work to comply with per ADA and local building code requirements. Includes all anchors, fasteners and connection hardware.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
BID ITEM: Furnish and install steel base plates and anchor bolts as indicated on drawings and per project specification Section 05 10 00. High-strength bolts A325 for all connections.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
RE: Metal Decking – Request for approval: acoustic metal deck with perforations for use for roof deck installation over steel joists. Deck to be Vulcraft or approved equal. conforming to ASTM A653 galvanized steel.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Subject: Material Submittal – Supply and install acoustic metal deck with perforations for mezzanine floor deck. Deck to be Vulcraft or approved equal. conforming to ASTM A653 galvanized steel.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Subject: Material Submittal – Request for approval: concrete placement and finishing for foundations for use for building foundations and footings. Finish to be steel trowel for interior slabs, broom finish for exterior. conforming to ASTM C94 ready-mixed concrete standard.",03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
Quotation for overhead coiling steel service doors for main building entry and vestibule. Frames to be set and grouted plumb and square. per project specification Section 08 10 00.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
Vendor submittal: abuse-resistant gypsum board for corridors. Partitions to achieve fire rating per UL assembly design. per ASTM C840 gypsum board application standard.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"This submittal covers the installation of copper building wire THHN/THWN various sizes for electrical raceway and wiring infrastructure. All work to comply with per NECA installation standards. Includes all supports, straps and seismic bracing.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
PROJECT PROPOSAL: Proposal for furnishing and glazing of vinyl casement windows with Low-E glass for high-rise building perimeter. Windows to be factory-assembled and glazed.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Supply and install overhead coiling steel service doors for warehouse and loading dock openings. Fire-rated assemblies with UL listed label. conforming to SDI (Steel Door Institute) standards.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
